Infected, Healthy, Recovered, Dead
1,9999,0,0
1,9999,0,0
340,9660,0,0
2571,7429,0,0
3987,6013,0,1
5202,4797,560,0
5583,4416,300,265
5849,3885,272,1491
4800,3443,209,1181
4081,2981,259,978
3378,2706,231,785
2847,2452,272,597
2430,2272,232,515
2087,2100,231,404
1819,1964,237,313
1574,1896,242,260
1399,1811,258,221
1234,1755,211,161
1138,1690,232,120
1056,1652,249,93
971,1644,211,99
917,1599,238,67
873,1576,219,64
852,1533,230,35
817,1533,236,37
798,1515,247,27
786,1500,219,25
792,1469,247,15
744,1502,250,11
709,1526,236,7
708,1520,206,12
749,1467,221,14
755,1447,237,8
721,1473,256,5
677,1512,238,5
682,1502,207,3
701,1480,214,3
709,1469,243,4
677,1497,228,3
681,1490,224,5
679,1487,215,1
705,1460,233,1
701,1463,226,0
699,1465,241,2
707,1455,229,1
725,1436,223,1
737,1423,251,1
697,1462,248,1
712,1446,235,0
709,1449,212,0
715,1443,264,1
678,1479,232,0
681,1476,218,0
692,1465,228,0
709,1448,235,0
720,1437,229,0
706,1451,245,0
699,1458,246,0
697,1460,215,0
707,1450,238,0
703,1454,244,0
657,1500,225,0
656,1501,234,0
659,1498,198,0
688,1469,224,0
688,1469,236,0
679,1478,227,0
678,1479,224,1
695,1461,227,0
706,1450,226,0
705,1451,242,0
689,1467,238,0
673,1483,225,0
692,1464,226,0
721,1435,222,0
760,1396,244,0
734,1422,255,0
680,1476,261,0
657,1499,218,0
671,1485,201,0
704,1452,238,0
698,1458,232,0
668,1488,234,0
668,1488,232,0
637,1519,202,0
665,1491,234,0
672,1484,201,0
706,1450,230,0
697,1459,241,0
671,1485,235,0
642,1514,221,0
667,1489,215,0
691,1465,206,0
730,1426,246,0
693,1463,239,0
683,1473,245,0
661,1495,209,0
676,1480,229,0
674,1482,223,0
691,1465,224,0
701,1455,227,0
708,1448,240,0
698,1458,234,0
700,1456,234,0
695,1461,230,0
677,1479,236,0
676,1480,229,0
677,1479,212,0
708,1448,235,0
687,1469,230,0
672,1484,243,0
672,1484,214,0
704,1452,215,0
730,1426,243,0
728,1428,246,0
707,1449,241,0
703,1453,241,0
688,1468,225,0
706,1450,237,0
696,1460,226,0
715,1441,243,0
