Infected, Healthy
1,9999
1,9999
182,9818
1725,8275
3027,6973
4099,5901
5043,4957
5841,4159
6463,3537
7032,2968
7489,2511
7896,2104
8196,1804
8479,1521
8697,1303
8907,1093
9099,901
9245,755
9376,624
9460,540
9546,454
9618,382
9668,332
9717,283
9762,238
9798,202
9831,169
9859,141
9881,119
9902,98
9917,83
9932,68
9946,54
9957,43
9966,34
9969,31
9973,27
9979,21
9983,17
9985,15
9988,12
9991,9
9991,9
9991,9
9992,8
9993,7
9995,5
9996,4
9999,1
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
10000,0
